Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,Riemann FlowLD20 Flow
"100221.0","-3.4087","-3.6403","-3.6497","-3.6474","0.0000"
"100222.0","-3.4149","-3.6094","-3.6494","-3.6474","0.0000"
"100223.0","-3.5383","-3.5861","-3.6493","-3.6474","0.0000"
"100224.0","-3.4555","-3.5472","-3.6491","-3.6474","0.0000"
"100225.0","-3.5494","-3.5351","-3.6490","-3.6474","0.0000"
"100226.0","-3.4587","-3.5196","-3.6488","-3.6474","0.0000"
"100227.0","-3.5937","-3.5067","-3.6488","-3.6474","0.0000"
"100228.0","-3.6553","-3.5063","-3.6488","-3.6474","0.0000"
"100229.0","-3.7086","-3.5268","-3.6489","-3.6474","0.0000"
"100230.0","-3.7511","-3.5534","-3.6490","-3.6474","0.0000"
"100231.0","-3.7213","-3.5847","-3.6490","-3.6474","0.0000"
"100232.0","-3.6506","-3.6083","-3.6490","-3.6474","0.0000"
"100233.0","-3.6705","-3.6215","-3.6491","-3.6474","0.0000"
"100234.0","-3.6404","-3.6400","-3.6490","-3.6474","0.0000"
"100235.0","-3.5596","-3.6410","-3.6490","-3.6474","0.0000"
"100236.0","-3.4927","-3.6444","-3.6488","-3.6474","0.0000"
"100237.0","-3.3913","-3.6242","-3.6485","-3.6474","0.0000"
"100238.0","-3.4151","-3.6001","-3.6483","-3.6474","0.0000"
"100239.0","-3.3537","-3.5646","-3.6480","-3.6474","0.0000"
"100240.0","-3.4920","-3.5387","-3.6479","-3.6474","0.0000"
"100241.0","-3.5124","-3.5178","-3.6477","-3.6474","0.0000"
"100242.0","-3.5041","-3.5032","-3.6476","-3.6474","0.0000"
"100243.0","-3.6203","-3.4982","-3.6476","-3.6474","0.0000"
"100244.0","-3.8129","-3.5154","-3.6477","-3.6474","0.0000"
"100245.0","-3.7706","-3.5365","-3.6478","-3.6474","0.0000"
"100246.0","-3.7579","-3.5630","-3.6480","-3.6474","0.0000"
"100247.0","-3.8160","-3.6055","-3.6481","-3.6474","0.0000"
"100248.0","-3.8458","-3.6486","-3.6483","-3.6474","0.0000"
"100249.0","-3.6927","-3.6825","-3.6484","-3.6474","0.0000"
"100250.0","-3.7361","-3.7069","-3.6485","-3.6474","0.0000"
"100251.0","-3.6601","-3.7217","-3.6485","-3.6474","0.0000"
"100252.0","-3.5471","-3.7260","-3.6484","-3.6474","0.0000"
"100253.0","-3.5457","-3.7185","-3.6483","-3.6474","0.0000"
"100254.0","-3.5274","-3.6900","-3.6481","-3.6474","0.0000"
"100255.0","-3.5213","-3.6650","-3.6480","-3.6474","0.0000"
"100256.0","-3.5118","-3.6404","-3.6479","-3.6474","0.0000"
"100257.0","-3.4750","-3.6063","-3.6477","-3.6474","0.0000"
"100258.0","-3.5173","-3.5735","-3.6476","-3.6474","0.0000"
"100259.0","-3.5173","-3.5559","-3.6474","-3.6474","0.0000"
"100260.0","-3.6232","-3.5446","-3.6474","-3.6474","0.0000"
"100261.0","-3.5740","-3.5360","-3.6473","-3.6474","0.0000"
"100262.0","-3.6837","-3.5497","-3.6474","-3.6474","0.0000"
"100263.0","-3.6193","-3.5570","-3.6474","-3.6474","0.0000"
"100264.0","-3.6281","-3.5671","-3.6473","-3.6474","0.0000"
"100265.0","-3.8592","-3.6009","-3.6475","-3.6474","0.0000"
"100266.0","-3.7749","-3.6272","-3.6477","-3.6474","0.0000"
"100267.0","-3.7679","-3.6565","-3.6478","-3.6474","0.0000"
"100268.0","-3.6655","-3.6713","-3.6478","-3.6474","0.0000"
"100269.0","-3.5684","-3.6764","-3.6477","-3.6474","0.0000"
"100270.0","-3.6072","-3.6748","-3.6477","-3.6474","0.0000"
"100271.0","-3.5761","-3.6750","-3.6476","-3.6474","0.0000"
"100272.0","-3.5070","-3.6573","-3.6475","-3.6474","0.0000"
"100273.0","-3.5233","-3.6478","-3.6474","-3.6474","0.0000"
"100274.0","-3.5240","-3.6373","-3.6472","-3.6474","0.0000"
"100275.0","-3.5103","-3.6025","-3.6471","-3.6474","0.0000"
"100276.0","-3.5537","-3.5803","-3.6470","-3.6474","0.0000"
"100277.0","-3.6041","-3.5640","-3.6470","-3.6474","0.0000"
"100278.0","-3.6950","-3.5669","-3.6470","-3.6474","0.0000"
"100279.0","-3.7160","-3.5817","-3.6471","-3.6474","0.0000"
"100280.0","-3.7314","-3.5941","-3.6472","-3.6474","0.0000"
"100281.0","-3.7884","-3.6153","-3.6473","-3.6474","0.0000"
"100282.0","-3.6538","-3.6300","-3.6473","-3.6474","0.0000"
"100283.0","-3.7102","-3.6487","-3.6474","-3.6474","0.0000"
"100284.0","-3.7347","-3.6697","-3.6475","-3.6474","0.0000"
"100285.0","-3.6370","-3.6824","-3.6474","-3.6474","0.0000"
"100286.0","-3.6373","-3.6908","-3.6474","-3.6474","0.0000"
"100287.0","-3.5733","-3.6877","-3.6474","-3.6474","0.0000"
"100288.0","-3.4736","-3.6656","-3.6472","-3.6474","0.0000"
"100289.0","-3.5096","-3.6449","-3.6470","-3.6474","0.0000"
"100290.0","-3.5513","-3.6269","-3.6470","-3.6474","0.0000"
"100291.0","-3.6185","-3.6099","-3.6469","-3.6474","0.0000"
"100292.0","-3.5681","-3.6014","-3.6468","-3.6474","0.0000"
"100293.0","-3.6346","-3.5938","-3.6468","-3.6474","0.0000"
"100294.0","-3.7277","-3.5931","-3.6469","-3.6474","0.0000"
"100295.0","-3.8666","-3.6161","-3.6471","-3.6474","0.0000"
"100296.0","-3.8343","-3.6358","-3.6473","-3.6474","0.0000"
"100297.0","-3.8167","-3.6601","-3.6475","-3.6474","0.0000"
"100298.0","-3.7832","-3.6911","-3.6476","-3.6474","0.0000"
"100299.0","-3.8250","-3.7226","-3.6478","-3.6474","0.0000"
"100300.0","-3.7421","-3.7417","-3.6479","-3.6474","0.0000"
