Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,LD20 Flow
"300455.0","45.7121","44.5566","46.1798","-0.0500"
"300456.0","43.9350","44.7464","45.0574","-0.0500"
"300457.0","42.3920","44.7320","43.7247","-0.0500"
"300458.0","42.2598","44.6814","42.9923","-0.0500"
"300459.0","42.7178","44.6548","42.8551","-0.0500"
"300460.0","43.0367","44.6223","42.9459","-0.0500"
"300461.0","43.0098","44.3981","42.9778","-0.0500"
"300462.0","43.1132","44.0454","43.0455","-0.0500"
"300463.0","43.1132","43.6206","43.0793","-0.0500"
"300464.0","43.7108","43.3000","43.3951","-0.0500"
"300465.0","43.7891","43.1077","43.5921","-0.0500"
"300466.0","43.7276","43.0870","43.6598","-0.0500"
"300467.0","44.2386","43.2717","43.9492","-0.0500"
"300468.0","45.7296","43.6186","44.8394","-0.0500"
"300469.0","47.7121","44.1181","46.2757","-0.0500"
"300470.0","48.1887","44.6333","47.2322","-0.0500"
"300471.0","48.2690","45.1592","47.7506","-0.0500"
"300472.0","47.7048","45.6183","47.7277","-0.0500"
"300473.0","45.6385","45.8709","46.6831","-0.0500"
"300474.0","43.6426","45.8640","45.1628","-0.0500"
"300475.0","43.0292","45.7881","44.0960","-0.0500"
"300476.0","43.2492","45.7402","43.6726","-0.0500"
"300477.0","43.8338","45.6997","43.7532","-0.0500"
"300478.0","43.5090","45.4777","43.6311","-0.0500"
"300479.0","44.0395","45.1104","43.8353","-0.0500"
"300480.0","44.4716","44.7387","44.1534","-0.0500"
"300481.0","44.7763","44.3894","44.4648","-0.0500"
"300482.0","45.0367","44.1226","44.7508","-0.0500"
"300483.0","45.0512","44.0639","44.9010","-0.0500"
"300484.0","46.5986","44.3595","45.7498","-0.0500"
"300485.0","48.5734","44.9139","47.1616","-0.0500"
"300486.0","49.4576","45.5348","48.3096","-0.0500"
"300487.0","49.7028","46.1217","49.0062","-0.0500"
"300488.0","49.0326","46.6740","49.0194","-0.0500"
"300489.0","47.2494","46.9950","48.1344","-0.0500"
"300490.0","45.4827","47.0961","46.8085","-0.0500"
"300491.0","44.1111","47.0296","45.4598","-0.0500"
