Time [ms],Timestamp,Raw Value,Corrected Value,,,,,
476,36:32.0,2233925,2.7197,,,,,
477,36:32.0,2233433,2.6661,,,,,
478,36:32.0,2233546,2.6784,,,,,
479,36:32.0,2234772,2.812,,,,,
480,36:32.0,2235663,2.9092,,,,,
481,36:32.0,2235109,2.8488,,,,,
482,36:32.0,2235299,2.8695,,,,,
483,36:32.0,2235299,2.8695,,,,,
484,36:32.0,2235695,2.9127,,,,,
485,36:32.0,2234976,2.8343,,,,,
486,36:32.0,2234939,2.8303,,,,,
487,36:32.0,2234556,2.7885,,,,,
488,36:32.0,2234671,2.801,,,,,
489,36:32.0,2234295,2.76,,,,,
490,36:32.1,2233363,2.6584,,,,,
491,36:32.2,2234482,2.7804,,,,,
492,36:32.3,2232536,2.5683,,,,,
493,36:32.4,2232014,2.5114,,,,,
494,36:32.5,2231562,2.4621,,,,,
495,36:32.6,2231154,2.4176,,,,,
496,36:32.7,2232080,2.5186,,,,,
497,36:32.8,2233140,2.6342,,,,,
498,36:32.9,2233357,2.6578,,,,,
499,36:32.1,2233238,2.6448,,,,,
500,36:32.1,2232926,2.6108,,,,,
501,36:32.1,2232540,2.5687,,,,,
502,36:32.1,2233080,2.6276,,,,,
503,36:32.1,2233026,2.6217,,,,,
504,36:32.2,2232781,2.595,,,,,
505,36:32.2,2232097,2.5204,,,,,
506,36:32.2,2233356,2.6577,,,,,
507,36:32.2,2234872,2.8229,,,,,
508,36:32.2,2234612,2.7946,,,,,
509,36:32.2,2233862,2.7128,,,,,
510,36:32.2,2233292,2.6507,,,,,
511,36:32.2,2233053,2.6246,,,,,
512,36:32.2,2233406,2.6631,,,,,
513,36:32.2,2233650,2.6897,,,,,
514,36:32.3,2233737,2.6992,,,,,
515,36:32.3,2234089,2.7376,,,,,
516,36:32.3,2232942,2.6126,,,,,
517,36:32.3,2232554,2.5702,,,,,
518,36:32.3,2232855,2.6031,,,,,
519,36:32.3,2232679,2.5839,,,,,
520,36:32.3,2232293,2.5418,,,,,
521,36:32.3,2231969,2.5065,,,,,
522,36:32.3,2232127,2.5237,,,,,
523,36:32.3,2232623,2.5778,,,,,
524,36:32.4,2232436,2.5574,,,,,
525,36:32.4,2231806,2.4887,,,,,
526,36:32.4,2231286,2.432,,,,,
527,36:32.4,2231848,2.4933,,,,,
528,36:32.4,2231848,2.4933,,,,,
529,36:32.4,2232247,2.5368,,,,,
530,36:32.4,2232826,2.5999,,,,,
